,state,date,tot_cases,new_cases,tot_deaths,new_deaths,1st_dose,2nd_dose
214,Nevada,Jun-2021,1643540,10463,28178,111,128520,128520
215,Nevada,Mar-2021,1497438,11703,25653,329,197730,197730
216,Nevada,May-2021,1281767,8774,22117,122,216000,216000
217,New Hampshire,Apr-2021,363718,10229,5081,59,81900,81900
218,New Hampshire,Dec-2020,165147,24396,3150,227,32175,32175
219,New Hampshire,Feb-2021,282191,10695,4497,151,40365,40365
220,New Hampshire,Jan-2021,225963,20321,3657,265,35100,35100
221,New Hampshire,Jun-2021,495854,1035,6815,26,64260,64260
222,New Hampshire,Mar-2021,398519,9918,6030,81,95940,95940
223,New Hampshire,May-2021,389422,4065,5316,49,105660,105660
224,New Jersey,Apr-2021,3879289,84307,100532,947,508950,508950
225,New Jersey,Dec-2020,2269059,177897,90108,2066,197925,197925
226,New Jersey,Feb-2021,2969041,98849,89652,1857,255645,255645
227,New Jersey,Jan-2021,2480363,153242,81569,2268,218400,218400
228,New Jersey,Jun-2021,5100818,8446,131781,297,396630,396630
229,New Jersey,Mar-2021,4257772,133430,120115,1484,601380,601380
230,New Jersey,May-2021,4040440,21848,103778,651,661050,661050
231,New Mexico,Apr-2021,780365,5564,16019,113,121680,121680
232,New Mexico,Dec-2020,612698,53084,10180,985,46800,46800
233,New Mexico,Feb-2021,719553,12732,14017,459,62010,62010
234,New Mexico,Jan-2021,645985,29861,11656,762,52650,52650
235,New Mexico,Jun-2021,1022192,2974,21537,86,97470,97470
236,New Mexico,Mar-2021,944212,7870,19299,278,142740,142740
237,New Mexico,May-2021,803067,5357,16549,206,158850,158850
238,New York,Apr-2021,4345352,88256,77022,551,647010,647010
239,New York,Dec-2020,2201813,224297,56354,2668,252525,252525
240,New York,Feb-2021,3462028,118834,69549,2014,324870,324870
241,New York,Jan-2021,2796897,247347,58825,3404,278850,278850
242,New York,Jun-2021,5775534,8766,99475,178,503010,503010
243,New York,Mar-2021,4877614,122793,92833,904,761670,761670
244,New York,May-2021,4555899,34201,78716,328,841590,841590
245,North Carolina,Apr-2021,3752362,49959,51907,315,580320,580320
246,North Carolina,Dec-2020,2323680,194854,34450,2232,225225,225225
247,North Carolina,Feb-2021,3271599,103053,47214,1523,290745,290745
248,North Carolina,Jan-2021,2714344,196939,38709,2793,249600,249600
249,North Carolina,Jun-2021,4989131,14935,67893,206,449820,449820
250,North Carolina,Mar-2021,4420489,59513,63040,545,684450,684450
251,North Carolina,May-2021,3915597,31174,53273,340,753660,753660
252,North Dakota,Apr-2021,422754,4060,5944,24,44460,44460
253,North Dakota,Dec-2020,438170,17012,6174,381,17550,17550
254,North Dakota,Feb-2021,394569,2380,5755,29,22815,22815
255,North Dakota,Jan-2021,382319,4655,5585,72,19500,19500
256,North Dakota,Jun-2021,552134,925,7628,17,34560,34560
257,North Dakota,Mar-2021,507061,3566,7320,23,53820,53820
258,North Dakota,May-2021,435979,2625,6024,18,58320,58320
259,Ohio,Apr-2021,4204191,51420,78433,514,665730,665730
260,Ohio,Dec-2020,2878380,308005,54830,6094,258375,258375
261,Ohio,Feb-2021,3740455,81723,72445,1569,334230,334230
262,Ohio,Jan-2021,3263173,187536,63300,3535,286650,286650
263,Ohio,Jun-2021,5537528,11745,102249,293,517590,517590
264,Ohio,Mar-2021,4972009,57558,95294,719,783900,783900
265,Ohio,May-2021,4359032,30595,80379,443,865170,865170
266,Oklahoma,Apr-2021,1779721,7897,26841,1829,221130,221130
267,Oklahoma,Dec-2020,1227321,102952,10619,772,85800,85800
268,Oklahoma,Feb-2021,1642499,42250,15900,875,111735,111735
269,Oklahoma,Jan-2021,1394446,92495,11950,935,95550,95550
270,Oklahoma,Jun-2021,2276777,5357,36755,98,172800,172800
271,Oklahoma,Mar-2021,2170140,17698,23816,689,259740,259740
272,Oklahoma,May-2021,1803760,4859,27912,508,286920,286920
273,Oregon,Apr-2021,700384,17904,9838,107,239850,239850
274,Oregon,Dec-2020,482299,43757,6196,601,92625,92625
275,Oregon,Feb-2021,598395,13995,8372,270,121095,121095
276,Oregon,Jan-2021,524538,27803,7022,456,103350,103350
277,Oregon,Jun-2021,1027599,8857,13669,135,186570,186570
278,Oregon,Mar-2021,802262,10954,11657,189,283140,283140
279,Oregon,May-2021,778002,16868,10309,149,310230,310230
280,Pennsylvania,Apr-2021,4449723,119654,103126,1060,656370,656370
281,Pennsylvania,Dec-2020,2595062,304738,66722,5737,255450,255450
282,Pennsylvania,Feb-2021,3589865,101752,92234,2626,327015,327015
283,Pennsylvania,Jan-2021,3060442,186677,77063,5317,280800,280800
284,Pennsylvania,Jun-2021,6112425,14512,137729,517,511380,511380
285,Pennsylvania,Mar-2021,4935439,106716,123603,1292,771030,771030
286,Pennsylvania,May-2021,4783171,56844,107444,973,853740,853740
287,Puerto Rico,Apr-2021,484398,23200,8857,178,202410,202410
288,Puerto Rico,Dec-2020,323455,27566,6601,451,78975,78975
289,Puerto Rico,Feb-2021,389748,7079,7719,215,102375,102375
290,Puerto Rico,Jan-2021,345988,16250,6800,298,87750,87750
291,Puerto Rico,Jun-2021,697333,1841,12669,60,156870,156870
